experiment_name,n_protein,cytokine_protein,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M,intraclashes_group1,intraclashes_group2,foldx_deltaG_kcalpermol,stability_group1,stability_group2
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL25,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL25,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL25/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL25_10w.pdb,5,-89.88,9.64,-68.97,9.3,-209.1,17.49,3368.4,227.03,-10.802,6.971,53.4,0,0,0,2603.074,215.006,215.251,29.272,-10.6,1.6E-08,27.2117,27.8961,-1.91004,285.145,101.367
SARS-CoV-2-P.1-N__IFNomega,SARS-CoV-2-P.1-N,IFNomega,1,./results/SARS-CoV-2-P.1-N__IFNomega/run1/structures/it1/water/SARS-CoV-2-P.1-N__IFNomega_31w.pdb,6,-65.31,9.7,-44.62,11.56,-206.88,23.07,3071.3,82.95,15.244,3.243,53.83,0,0,0,1983.923,130.522,236.374,11.591,-9.3,1.6E-07,29.8587,12.2976,-1.90931,264.501,-0.00957033
SARS-CoV-2-P.1-N__CCL27,SARS-CoV-2-P.1-N,CCL27,3,./results/SARS-CoV-2-P.1-N__CCL27/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL27_94w.pdb,4,-114.08,15.21,-70.15,14.71,-439.3,93.11,3059.26,238.7,27.385,6.702,49.75,0,0,0,2797.188,172.383,175.303,30.613,-14.9,1.3E-11,20.8912,4.24048,-1.89962,256.652,32.7407
SARS-CoV-2-B.1.1.7-N__CCL14,SARS-CoV-2-B.1.1.7-N,CCL14,5,./results/SARS-CoV-2-B.1.1.7-N__CCL14/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL14_91w.pdb,5,-100.98,19.85,-72.85,15.87,-281.28,43.42,3111.98,192.5,13.925,2.273,48.8,0,0,0,2535.676,317.354,196.014,24.545,-12.2,1.1E-09,26.0019,5.46907,-1.8857,260.42,18.6589
SARS-CoV-2-BQ.1-N__CXCL11,SARS-CoV-2-BQ.1-N,CXCL11,7,./results/SARS-CoV-2-BQ.1-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CXCL11_196w.pdb,5,-106.25,11.48,-61.98,11.02,-442.72,80.59,2888.89,148.8,18.515,3.801,47.2,0,0,0,2642.038,201.793,156.879,8.929,-11.8,2.1E-09,27.4228,3.89613,-1.88175,249.829,42.8551
SARS-CoV-2-WA1-N__CCL19,SARS-CoV-2-WA1-N,CCL19,7,./results/SARS-CoV-2-WA1-N__CCL19/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL19_78w.pdb,5,-104.71,7.61,-77.05,6.11,-276.61,27.11,3045.08,102.19,21.703,3.049,51,0,0,0,2729.65,183.072,193.843,19.288,-15.1,8.2E-12,19.3352,3.40195,-1.85356,246.61,10.4815
SARS-CoV-2-XBB-N__CCL3,SARS-CoV-2-XBB-N,CCL3,4,./results/SARS-CoV-2-XBB-N__CCL3/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL3_16w.pdb,5,-99.06,7.4,-83.94,3.47,-151.1,84.29,2622.47,162.04,5.234,3.998,42.8,0,0,0,2433.34,106.741,153.317,26.409,-9.2,1.7E-07,20.5792,4.91358,-1.84962,238.284,17.9717
SARS-CoV-2-B.1.351-N__CXCL8,SARS-CoV-2-B.1.351-N,CXCL8,1,./results/SARS-CoV-2-B.1.351-N__CXCL8/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL8_49w.pdb,16,-84.16,11.11,-63.13,9.95,-210.3,29.23,2984.3,93.94,14.04,2.974,48.75,0,0,0,2581.521,163.253,207.284,14.786,-14.9,1.1E-11,29.3895,5.75261,-1.84193,264.375,26.575
SARS-CoV-2-B.1.1-N__CCL18,SARS-CoV-2-B.1.1-N,CCL18,2,./results/SARS-CoV-2-B.1.1-N__CCL18/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL18_171w.pdb,5,-91.84,13.73,-61.98,11.91,-298.6,64.54,3118.46,179.58,25.815,4.642,49.8,0,0,0,2429.004,166.46,215.957,30.081,-11.7,2.6E-09,26.7698,4.13501,-1.83729,274.014,5.42818
SARS-CoV-2-BA.4-N__IL-6Ralpha,SARS-CoV-2-BA.4-N,IL-6Ralpha,3,./results/SARS-CoV-2-BA.4-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-BA.4-N__IL-6Ralpha_59w.pdb,2,-100.43,6.4,-71.53,5.02,-288.99,13.79,5810.33,147.46,4.73,2.518,89,0,0,0,3188.34,144.07,456.437,20.008,-10.6,1.7E-08,26.7628,45.8918,-1.83536,297.577,193.549
SARS-CoV-2-B.1.1.7-N__CCL23,SARS-CoV-2-B.1.1.7-N,CCL23,4,./results/SARS-CoV-2-B.1.1.7-N__CCL23/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL23_4w.pdb,4,-115.52,22.95,-78.69,18.23,-368.28,49.54,3033.3,371.29,14.092,4.398,53.5,0,0,0,3417.965,448.228,165.072,60.673,-14.2,4.1E-11,25.0427,27.7305,-1.79614,265.986,93.7115
SARS-CoV-2-BA.4-N__CCL23,SARS-CoV-2-BA.4-N,CCL23,2,./results/SARS-CoV-2-BA.4-N__CCL23/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL23_184w.pdb,5,-94.25,6.85,-68.25,5.75,-260.02,33.33,3497.64,213.19,10.571,4.832,54.8,0,0,0,2407.158,137.488,240.079,21.781,-9.8,6.1E-08,25.6318,21.4986,-1.7868,273.375,95.7003
SARS-CoV-2-WA1-N__IL-18BP,SARS-CoV-2-WA1-N,IL-18BP,1,./results/SARS-CoV-2-WA1-N__IL-18BP/run1/structures/it1/water/SARS-CoV-2-WA1-N__IL-18BP_90w.pdb,7,-64.52,12.03,-49.03,10.48,-154.9,50.34,3326.63,178.16,7.338,5.288,58.14,0,0,0,2463.964,202.871,259.997,31.348,-11.8,2.3E-09,22.0102,9.5657,-1.75358,263.614,53.0888
SARS-CoV-2-B.1.1.7-N__IL-1beta,SARS-CoV-2-B.1.1.7-N,IL-1beta,1,./results/SARS-CoV-2-B.1.1.7-N__IL-1beta/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-1beta_89w.pdb,6,-93.85,12.65,-63.38,11.13,-304.72,19.07,3224.76,180.91,22.173,2.21,52.83,0,0,0,2400.093,254.132,220.33,17.925,-12.6,5.7E-10,21.0534,10.0219,-1.73423,238.678,27.7342
SARS-CoV-2-BA.2-N__CCL14,SARS-CoV-2-BA.2-N,CCL14,6,./results/SARS-CoV-2-BA.2-N__CCL14/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL14_17w.pdb,4,-129.81,18.24,-91.16,11.47,-386.44,77.45,2914.14,204.67,23.689,7.114,47.75,0,0,0,2963.492,211.997,146.655,29.539,-16.1,1.5E-12,23.5076,4.8055,-1.71895,282.115,27.9182
SARS-CoV-2-B.1.1.529-N__IL-6Ralpha,SARS-CoV-2-B.1.1.529-N,IL-6Ralpha,2,./results/SARS-CoV-2-B.1.1.529-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL-6Ralpha_158w.pdb,2,-72.99,13.67,-57.02,11.34,-159.68,23.37,5649.65,27.45,-3.814,2.676,90,0,0,0,2600.855,390.855,495.296,12.513,-11.1,7.8E-09,25.4682,48.2674,-1.70971,259.848,197.908
SARS-CoV-2-BQ.1-N__CCL22,SARS-CoV-2-BQ.1-N,CCL22,10,./results/SARS-CoV-2-BQ.1-N__CCL22/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL22_160w.pdb,4,-97.71,6.12,-87.6,5.57,-101.14,17.24,2891,122.28,-5.049,1.416,44.5,0,0,0,2649.19,113.536,176.227,13.776,-13.2,1.9E-10,27.8649,3.43883,-1.69572,253.899,14.5495
SARS-CoV-2-XBB-N__CX3CL1,SARS-CoV-2-XBB-N,CX3CL1,3,./results/SARS-CoV-2-XBB-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-XBB-N__CX3CL1_175w.pdb,2,-97.42,8.13,-60.62,7.54,-367.93,5.95,6029.8,112.35,20.935,3.384,92,0,0,0,2703.915,21.095,489.705,5.894,-11,9E-09,23.5378,137.173,-1.68992,260.534,572.635
SARS-CoV-2-B.1.351-N__IL-12p70,SARS-CoV-2-B.1.351-N,IL-12p70,1,./results/SARS-CoV-2-B.1.351-N__IL-12p70/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__IL-12p70_160w.pdb,13,-85.08,12.03,-54.19,14.81,-308.9,46.45,5380.56,213.05,25.77,4.529,80.31,0,0,0,2544.718,277.521,451.443,21.639,-12,1.6E-09,29.7802,34.7636,-1.68798,265.334,105.911
SARS-CoV-2-B.1.1-N__IL-1beta,SARS-CoV-2-B.1.1-N,IL-1beta,1,./results/SARS-CoV-2-B.1.1-N__IL-1beta/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__IL-1beta_19w.pdb,5,-115.67,14.3,-88.35,10.63,-273.19,38.34,3155.88,244.87,8.005,3.242,50,0,0,0,3115.196,229.727,180.605,36.145,-15.7,3.1E-12,26.0371,10.892,-1.67617,274.875,43.4289
SARS-CoV-2-B.1.617.2-DeltaA-N__IL-6Ralpha,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-6Ralpha,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-6Ralpha_44w.pdb,4,-45.16,3.84,-31.8,3.32,-133.59,7.34,5400.76,224.82,17.451,5.006,90,0,0,0,1778.09,61.134,499.01,28.751,-6.6,1.4E-05,24.6571,45.8981,-1.67507,262.583,188.456
SARS-CoV-N__CCL3,SARS-CoV-N,CCL3,1,./results/SARS-CoV-N__CCL3/run1/structures/it1/water/SARS-CoV-N__CCL3_171w.pdb,15,-86.06,11.97,-60.24,7.87,-258.19,83.58,2685.32,150.69,18.899,5.013,46.33,0,0,0,2245.153,245.147,175.55,22.041,-15.4,5.4E-12,29.923,3.79004,-1.67212,283.253,12.0962
SARS-CoV-2-WA1-N__CCL24,SARS-CoV-2-WA1-N,CCL24,1,./results/SARS-CoV-2-WA1-N__CCL24/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL24_188w.pdb,4,-99,5.56,-66.84,4.55,-321.59,60.12,3087.09,172.4,23.414,3.132,53.5,0,0,0,2589.712,151.043,200.96,21.094,-9.7,7.7E-08,23.7586,4.51269,-1.67121,261.163,47.9766
SARS-CoV-N__TNFalpha,SARS-CoV-N,TNFalpha,4,./results/SARS-CoV-N__TNFalpha/run1/structures/it1/water/SARS-CoV-N__TNFalpha_13w.pdb,4,-103.03,6.21,-68.53,6.47,-344.96,38.14,3302.56,143.88,14.693,1.993,55.5,0,0,0,3072.038,45.662,207.422,20.64,-11.1,7.6E-09,26.5813,10.9904,-1.66894,280.655,25.1313
SARS-CoV-2-WA1-N__IL-17a,SARS-CoV-2-WA1-N,IL-17a,1,./results/SARS-CoV-2-WA1-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-WA1-N__IL-17a_14w.pdb,8,-95.97,4.22,-78.19,4.57,-177.81,9.29,3438.81,171.49,-6.028,2.789,59.88,0,0,0,2825.695,47.751,224.1,18.502,-11.9,1.8E-09,24.2444,7.3791,-1.66643,257.936,56.0115
SARS-CoV-2-P.1-N__IL-23,SARS-CoV-2-P.1-N,IL-23,1,./results/SARS-CoV-2-P.1-N__IL-23/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL-23_102w.pdb,4,-98.9,6.86,-58.4,1.05,-405.04,62.69,5340.78,169.22,27.484,4.297,88.5,0,0,0,2546.39,240.553,414.331,27.127,-12.5,6.4E-10,28.7844,36.5873,-1.66639,273.682,71.228
SARS-CoV-2-B.1.1.7-N__CCL5,SARS-CoV-2-B.1.1.7-N,CCL5,1,./results/SARS-CoV-2-B.1.1.7-N__CCL5/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL5_129w.pdb,8,-115.48,11.49,-88.08,11.01,-274.04,33.67,2926.84,181.06,0.737,5.024,47.25,0,0,0,2586.364,255.102,150.538,29.638,-15.2,7.4E-12,19.3691,5.86025,-1.6363,243.134,25.6433
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL2,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL2,3,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL2/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL2_102w.pdb,6,-103.67,13.09,-77.05,10.37,-266.22,33.21,2954.69,144.04,16.8,4.117,47,0,0,0,2791.407,234.92,181.972,24.385,-10.8,1.2E-08,26.1129,6.57023,-1.62413,260.059,20.824
SARS-CoV-2-B.1.1.529-N__IL-1beta,SARS-CoV-2-B.1.1.529-N,IL-1beta,1,./results/SARS-CoV-2-B.1.1.529-N__IL-1beta/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL-1beta_162w.pdb,5,-94.77,8.21,-66.36,7.11,-284.09,39.49,3238.66,151.9,13.057,3.941,53.6,0,0,0,2421.89,120.063,213.741,9.649,-11.8,2.4E-09,23.9263,10.5716,-1.59845,252.527,32.6339
BANAL-20-52-N__CCL23,BANAL-20-52-N,CCL23,2,./results/BANAL-20-52-N__CCL23/run1/structures/it1/water/BANAL-20-52-N__CCL23_165w.pdb,4,-84.44,21.53,-55.93,17.14,-285.16,55.1,3413.68,284.23,13.34,3.503,58.5,0,0,0,2708.262,462.781,241.75,39.394,-12.5,6.4E-10,25.6211,23.1652,-1.5866,264.241,91.1769
SARS-CoV-2-BA.4-N__CXCL3,SARS-CoV-2-BA.4-N,CXCL3,3,./results/SARS-CoV-2-BA.4-N__CXCL3/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL3_133w.pdb,6,-94.89,10.96,-83.16,9.17,-117.21,28.63,3055.01,94.87,-2.395,2.248,47.5,0,0,0,2552.19,238.93,196.5,22.651,-15.2,7.6E-12,21.6256,5.03247,-1.57962,274.614,17.6613
SARS-CoV-2-B.1.351-N__IFNA2,SARS-CoV-2-B.1.351-N,IFNA2,1,./results/SARS-CoV-2-B.1.351-N__IFNA2/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__IFNA2_152w.pdb,8,-77.88,11.69,-65.04,12.06,-128.37,33.99,3398.51,120.94,-0.932,3.621,54.62,0,0,0,2353.855,238.366,236.882,21.008,-14.6,1.8E-11,26.8717,14.6084,-1.57959,261.827,1.15911
SARS-CoV-2-P.1-N__CXCL4,SARS-CoV-2-P.1-N,CXCL4,3,./results/SARS-CoV-2-P.1-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-P.1-N__CXCL4_108w.pdb,7,-97.36,9.15,-70.56,15.29,-268.02,75.77,2792.71,126.23,19.723,5.993,48.71,0,0,0,2506.571,149.77,174.826,10.718,-11.1,6.6E-09,26.8371,2.58466,-1.57793,270.472,26.3634
BANAL-20-52-N__IL-1beta,BANAL-20-52-N,IL-1beta,1,./results/BANAL-20-52-N__IL-1beta/run1/structures/it1/water/BANAL-20-52-N__IL-1beta_152w.pdb,6,-88.17,3.4,-49.82,4.58,-383.51,45.95,3294.48,215.04,22.629,3.228,55.83,0,0,0,2023.102,117.33,225.555,20.537,-9.1,2E-07,24.8084,10.1771,-1.57283,265.448,35.108
SARS-CoV-2-B.1.1.529-N__IL-6,SARS-CoV-2-B.1.1.529-N,IL-6,1,./results/SARS-CoV-2-B.1.1.529-N__IL-6/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL-6_18w.pdb,4,-87.53,19.05,-42.12,11.33,-454.12,83.8,3332.96,228.77,29.999,5.741,55.25,0,0,0,2246.345,245.429,230.353,39.828,-11.5,3.8E-09,25.7684,7.46334,-1.57059,271.684,-0.575453
SARS-CoV-2-B.1.1.7-N__IL-12p70,SARS-CoV-2-B.1.1.7-N,IL-12p70,1,./results/SARS-CoV-2-B.1.1.7-N__IL-12p70/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-12p70_107w.pdb,6,-92.41,6.22,-45.08,5.01,-473.35,72.42,5251.67,464.12,39.975,3.335,91.17,0,0,0,2579.267,153.61,425.393,56.472,-11,8.4E-09,25.7661,32.984,-1.53911,249.034,33.7683
SARS-CoV-2-B.1.1.7-N__CXCL2,SARS-CoV-2-B.1.1.7-N,CXCL2,3,./results/SARS-CoV-2-B.1.1.7-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL2_27w.pdb,5,-95.84,5.11,-72.69,6.2,-231.43,43.47,2764.25,235.87,17.033,2.127,48.4,0,0,0,2811.296,105.81,174.478,24.217,-11.9,1.9E-09,26.7123,3.78951,-1.53328,255.058,26.0907
SARS-CoV-N__IL-18,SARS-CoV-N,IL-18,5,./results/SARS-CoV-N__IL-18/run1/structures/it1/water/SARS-CoV-N__IL-18_83w.pdb,4,-97.09,6.82,-65.5,9.13,-315.88,28.68,3524.21,80.67,20.555,0.718,57.25,0,0,0,2519.325,150.261,244.301,13.143,-12.9,3.6E-10,27.0911,15.0727,-1.51389,270.918,17.9578
MERS-CoV-N__CXCL14,MERS-CoV-N,CXCL14,9,./results/MERS-CoV-N__CXCL14/run1/structures/it1/water/MERS-CoV-N__CXCL14_57w.pdb,5,-87.89,7.64,-70.18,7.08,-177.07,33.43,3027.21,184.35,4.508,6.372,45.4,0,0,0,2484.5,158.826,201.636,17.997,-12.5,6.7E-10,35.0441,2.5742,-1.51173,287.492,21.7001
SARS-CoV-2-BQ.1-N__IFNlambda1,SARS-CoV-2-BQ.1-N,IFNlambda1,4,./results/SARS-CoV-2-BQ.1-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IFNlambda1_48w.pdb,4,-74.02,5.91,-47.2,2.01,-268.17,59.58,3553.45,88.53,14.238,3.627,56.5,0,0,0,2320.142,68.317,257.677,19.566,-11.1,6.7E-09,27.1888,10.6746,-1.48221,259.195,35.3448
SARS-CoV-2-BA.2-N__CCL28,SARS-CoV-2-BA.2-N,CCL28,23,./results/SARS-CoV-2-BA.2-N__CCL28/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL28_59w.pdb,2,-110.97,0.01,-72.22,4.94,-387.48,49.31,3167.74,89.31,24.343,1.499,52,0,0,0,2497.03,84.76,191.402,2.51,-10.6,1.6E-08,19.8558,7.93325,-1.47864,245.828,62.6365
SARS-CoV-2-BQ.1-N__IL-10,SARS-CoV-2-BQ.1-N,IL-10,2,./results/SARS-CoV-2-BQ.1-N__IL-10/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IL-10_149w.pdb,11,-111.89,25.17,-84.34,20.18,-275.55,72.14,3087.51,170.1,30.498,3.775,54.36,0,0,0,3118.473,511.755,199.802,38.915,-10,4.7E-08,27.1895,12.7113,-1.45449,272.222,21.5676
SARS-CoV-2-B.1.1.529-N__IFNlambda1,SARS-CoV-2-B.1.1.529-N,IFNlambda1,1,./results/SARS-CoV-2-B.1.1.529-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IFNlambda1_2w.pdb,6,-65.87,6.23,-31.09,6.73,-347.76,16.71,3491.21,269.26,23.366,1.623,61.33,0,0,0,2259.943,138.742,260.212,27.085,-10.5,1.9E-08,27.499,10.4143,-1.445,259.753,29.6177
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL4L1,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL4L1,4,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL4L1/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL4L1_57w.pdb,6,-126.29,8.03,-92.93,4.79,-333.6,47.35,2551.47,115.42,11.788,3.009,41.67,0,0,0,2974.37,114.933,107.283,19.124,-12.9,3.4E-10,27.4228,2.14734,-1.44337,255.327,38.1733
SARS-CoV-2-XBB-N__IFNgamma,SARS-CoV-2-XBB-N,IFNgamma,1,./results/SARS-CoV-2-XBB-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-XBB-N__IFNgamma_134w.pdb,6,-73.62,1.5,-38.29,2.89,-353.28,26.59,3126.67,230.46,30.932,2.923,55.67,0,0,0,2024.78,59.256,234.652,23.393,-9.7,7.5E-08,19.4393,8.69639,-1.37814,259.343,75.0089
BANAL-20-52-N__IL-18,BANAL-20-52-N,IL-18,3,./results/BANAL-20-52-N__IL-18/run1/structures/it1/water/BANAL-20-52-N__IL-18_85w.pdb,4,-81.79,8.3,-38.64,5.71,-431.49,26.93,3457.93,149.73,22.688,1.599,57,0,0,0,2153.6,65.725,243.543,8.312,-8.1,1.1E-06,26.9465,16.8063,-1.35872,264.942,25.558
SARS-CoV-2-B.1.351-N__CCL4,SARS-CoV-2-B.1.351-N,CCL4,4,./results/SARS-CoV-2-B.1.351-N__CCL4/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL4_98w.pdb,5,-90.39,3.23,-66.37,4.52,-240.22,22.87,3012,81.26,24.654,2.859,47.4,0,0,0,2381.992,147.414,211.443,8.036,-8.8,3.7E-07,33.9534,2.94228,-1.34091,274.809,13.0814
SARS-CoV-2-BA.4-N__IFNbeta,SARS-CoV-2-BA.4-N,IFNbeta,2,./results/SARS-CoV-2-BA.4-N__IFNbeta/run1/structures/it1/water/SARS-CoV-2-BA.4-N__IFNbeta_84w.pdb,4,-104.94,2.63,-62.51,3.26,-424.31,8,3128.63,172.81,32.573,1.607,49.5,0,0,0,2638.65,23.188,198.069,16.949,-9.4,1.3E-07,25.0675,9.21734,-1.32966,265.023,-19.9248
SARS-CoV-2-XBB-N__CXCL12beta,SARS-CoV-2-XBB-N,CXCL12beta,5,./results/SARS-CoV-2-XBB-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL12beta_4w.pdb,6,-117.3,18.24,-92.06,13.17,-252.43,72.68,2413.94,97.34,0.616,5.146,40.33,0,0,0,2924.953,136.518,99.465,25.802,-11.3,5.3E-09,22.6331,3.00432,-1.32815,255.636,37.6522
BANAL-20-52-N__CCL28,BANAL-20-52-N,CCL28,1,./results/BANAL-20-52-N__CCL28/run1/structures/it1/water/BANAL-20-52-N__CCL28_158w.pdb,9,-111.56,7.42,-69.8,9.38,-417.58,65.19,2967.99,232.31,15.42,3.994,51.22,0,0,0,2880.022,188.814,158.902,28.913,-11.9,2E-09,24.38,6.77169,-1.28044,254.957,47.5173
SARS-CoV-2-XBB-N__IL-6Ralpha,SARS-CoV-2-XBB-N,IL-6Ralpha,11,./results/SARS-CoV-2-XBB-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-XBB-N__IL-6Ralpha_48w.pdb,2,-104.58,0.58,-82.99,3.13,-215.88,25.52,5279.58,84.01,21.628,3.156,86,0,0,0,2796.295,90.485,423.422,7.221,-13.4,1.5E-10,22.7166,44.1616,-1.28038,251.663,190.316
SARS-CoV-2-WA1-N__CCL27,SARS-CoV-2-WA1-N,CCL27,1,./results/SARS-CoV-2-WA1-N__CCL27/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL27_56w.pdb,7,-99.5,8.27,-79.89,7.99,-196.13,45.41,3159.23,184.91,-1.531,2.7,51.57,0,0,0,2710.469,246.336,195.276,26.103,-14.3,3E-11,22.7907,5.9744,-1.27937,256.722,26.0752
SARS-CoV-N__XCL1,SARS-CoV-N,XCL1,1,./results/SARS-CoV-N__XCL1/run1/structures/it1/water/SARS-CoV-N__XCL1_108w.pdb,7,-89.75,9.87,-52.49,8.88,-372.66,48.52,3058.9,64.12,28.799,4.891,50.71,0,0,0,2663.653,247.531,207.67,12.373,-9.7,7.6E-08,22.631,7.44566,-1.27495,265.356,52.2129
SARS-CoV-2-BA.4-N__IFNlambda1,SARS-CoV-2-BA.4-N,IFNlambda1,3,./results/SARS-CoV-2-BA.4-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-BA.4-N__IFNlambda1_4w.pdb,5,-131.75,17.32,-83.11,10.78,-486.44,90.17,3571.91,355.18,15.795,0.578,60.6,0,0,0,3214.744,267.78,192.589,56.375,-16.9,3.8E-13,25.627,9.70155,-1.25378,261.769,25.2042
BANAL-20-52-N__CCL24,BANAL-20-52-N,CCL24,1,./results/BANAL-20-52-N__CCL24/run1/structures/it1/water/BANAL-20-52-N__CCL24_19w.pdb,5,-83.98,8,-70.27,7.4,-137.09,18.56,3072.02,186.58,3.837,4.067,52.8,0,0,0,2437.426,132.99,213.347,25.974,-12.7,4.8E-10,25.8914,7.75103,-1.23149,249.527,45.7913
SARS-CoV-2-BA.4-N__CCL18,SARS-CoV-2-BA.4-N,CCL18,5,./results/SARS-CoV-2-BA.4-N__CCL18/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL18_36w.pdb,4,-87.59,5.68,-72.21,5.88,-153.89,30.79,2943.28,139.18,13.386,4.127,50,0,0,0,2112.503,173.659,204.73,19.24,-14.3,3.4E-11,25.7491,4.47946,-1.1908,277.776,16.1844
SARS-CoV-2-B.1.617.2-DeltaA-N__IL-18,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-18,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-18/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-18_178w.pdb,10,-100.39,13.11,-67.02,12.1,-333.66,42.54,3452.72,151.53,28.011,3.235,58.5,0,0,0,2452.431,200.846,239.53,19.208,-10.6,1.6E-08,27.8944,14.4115,-1.1855,293.247,39.3661
SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL8,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL8,7,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL8/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL8_40w.pdb,4,-90.54,4.49,-59.67,10.42,-308.66,113.03,2921.71,81.5,6.514,3.619,49.75,0,0,0,2060.525,124.304,177.28,13.085,-13.3,1.7E-10,26.9356,5.80967,-1.16921,278.649,27.2149
SARS-CoV-2-BA.1.1-N__CCL20,SARS-CoV-2-BA.1.1-N,CCL20,1,./results/SARS-CoV-2-BA.1.1-N__CCL20/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL20_153w.pdb,5,-104.18,7.72,-72.51,6,-316.72,95.82,3057.91,113.46,18.321,5.911,49.8,0,0,0,2507.324,181.413,188.258,2.524,-9.6,9E-08,21.6514,4.6981,-1.13777,260.701,11.5123
SARS-CoV-2-B.1.1.7-N__IL-27,SARS-CoV-2-B.1.1.7-N,IL-27,10,./results/SARS-CoV-2-B.1.1.7-N__IL-27/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-27_43w.pdb,2,-95.68,0.48,-71.74,1.93,-239.39,14.53,4383.25,143.59,41.439,0.349,68.5,0,0,0,2857.76,18.33,360.146,13.731,-8.3,8.1E-07,23.2294,23.7949,-1.11735,250.476,14.9116
MERS-CoV-N__IFNbeta,MERS-CoV-N,IFNbeta,2,./results/MERS-CoV-N__IFNbeta/run1/structures/it1/water/MERS-CoV-N__IFNbeta_72w.pdb,8,-80.1,4.14,-56.53,4.19,-235.7,5.42,3377.61,158.48,21.266,1.351,53,0,0,0,2157.13,66.324,255.352,15.442,-10.2,3.3E-08,33.0219,7.68931,-1.10301,276.458,-13.7223
