,n_protein,cytokine_protein,experiment_name,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M
763,OC43-N,CCL24,OC43-N__CCL24,1,./results/OC43-N__CCL24/run1/structures/it1/water/OC43-N__CCL24_29w.pdb,17,-112.22,9.52,-101.77,8.2,-104.54,25.86,3335.38,373.44,-9.05,3.695,54.59,0.0,0.0,0.0,3230.106,196.451,201.811,39.387,-15.6,3.8e-12
764,OC43-N,CCL16,OC43-N__CCL16,3,./results/OC43-N__CCL16/run1/structures/it1/water/OC43-N__CCL16_30w.pdb,4,-104.07,4.08,-82.79,5.84,-212.87,26.29,3313.51,123.87,1.395,2.054,54.5,0.0,0.0,0.0,2960.233,22.467,207.386,13.651,-13.4,1.5e-10
765,BANAL-20-52-N,IFNbeta,BANAL-20-52-N__IFNbeta,2,./results/BANAL-20-52-N__IFNbeta/run1/structures/it1/water/BANAL-20-52-N__IFNbeta_164w.pdb,5,-145.55,4.01,-102.32,2.79,-432.32,57.59,3141.88,278.6,16.272,1.823,55.4,0.0,0.0,0.0,3431.078,200.409,141.675,27.967,-14.2,3.8e-11
766,BANAL-20-52-N,IL-18BP,BANAL-20-52-N__IL-18BP,17,./results/BANAL-20-52-N__IL-18BP/run1/structures/it1/water/BANAL-20-52-N__IL-18BP_5w.pdb,2,-86.28,20.11,-74.97,19.8,-113.01,3.1,3021.25,215.27,-10.713,5.106,51.5,0.0,0.0,0.0,2433.3,287.2,193.835,47.05,-13.6,1e-10
767,BANAL-20-52-N,TNFbeta,BANAL-20-52-N__TNFbeta,4,./results/BANAL-20-52-N__TNFbeta/run1/structures/it1/water/BANAL-20-52-N__TNFbeta_66w.pdb,4,-91.96,3.17,-67.28,4.8,-246.75,21.06,3021.2,276.47,-13.214,0.972,52.0,0.0,0.0,0.0,2722.93,34.008,172.273,30.207,-12.5,7e-10
768,SARS-CoV-2-B.1.1.7-N,CCL25,SARS-CoV-2-B.1.1.7-N__CCL25,3,./results/SARS-CoV-2-B.1.1.7-N__CCL25/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL25_10w.pdb,4,-116.2,6.16,-65.36,3.43,-508.49,44.19,2895.02,189.44,13.995,1.958,52.0,0.0,0.0,0.0,3146.715,202.812,136.444,21.415,-12.7,5e-10
769,MERS-CoV-N,XCL1,MERS-CoV-N__XCL1,1,./results/MERS-CoV-N__XCL1/run1/structures/it1/water/MERS-CoV-N__XCL1_5w.pdb,5,-74.89,13.44,-51.12,13.31,-237.69,20.35,3031.32,231.87,18.561,3.557,45.4,0.0,0.0,0.0,2275.978,227.004,223.039,36.52,-11.8,2.1e-09
770,BANAL-20-52-N,CCL22,BANAL-20-52-N__CCL22,1,./results/BANAL-20-52-N__CCL22/run1/structures/it1/water/BANAL-20-52-N__CCL22_52w.pdb,13,-137.0,15.54,-108.21,15.28,-287.93,59.41,2850.82,137.1,-5.507,5.792,50.69,0.0,0.0,0.0,3144.353,168.877,113.78,25.778,-15.1,8.2e-12
771,SARS-CoV-2-BQ.1-N,CCL4,SARS-CoV-2-BQ.1-N__CCL4,10,./results/SARS-CoV-2-BQ.1-N__CCL4/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL4_119w.pdb,4,-107.44,10.19,-73.86,8.32,-335.82,44.38,2924.99,263.2,1.613,3.304,48.25,0.0,0.0,0.0,2628.812,148.29,153.087,25.717,-12.2,1.1e-09
772,SARS-CoV-N,CXCL16,SARS-CoV-N__CXCL16,1,./results/SARS-CoV-N__CXCL16/run1/structures/it1/water/SARS-CoV-N__CXCL16_47w.pdb,4,-50.76,2.38,-26.76,1.18,-239.92,28.04,3838.72,175.13,33.574,3.521,68.5,0.0,0.0,0.0,1704.135,81.963,342.697,19.908,-8.2,9.4e-07
773,SARS-CoV-2-BA.1.1-N,IL-18BP,SARS-CoV-2-BA.1.1-N__IL-18BP,1,./results/SARS-CoV-2-BA.1.1-N__IL-18BP/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__IL-18BP_1w.pdb,5,-127.57,5.31,-96.97,6.04,-306.0,16.14,3202.49,328.12,12.986,3.259,55.4,0.0,0.0,0.0,3437.476,133.48,175.061,37.2,-12.7,4.7e-10
774,SARS-CoV-2-BA.4-N,CXCL12beta,SARS-CoV-2-BA.4-N__CXCL12beta,6,./results/SARS-CoV-2-BA.4-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL12beta_92w.pdb,7,-118.35,15.35,-79.54,10.49,-388.1,59.91,2806.69,165.42,19.598,4.576,47.86,0.0,0.0,0.0,3114.869,193.247,143.104,27.48,-15.0,1e-11
775,BANAL-20-52-N,INFbeta,BANAL-20-52-N__INFbeta,2,./results/BANAL-20-52-N__INFbeta/run1/structures/it1/water/BANAL-20-52-N__INFbeta_132w.pdb,5,-90.11,9.08,-37.81,5.44,-523.05,71.09,3075.07,263.67,39.306,8.039,57.2,0.0,0.0,0.0,2377.114,141.735,204.396,28.919,-10.7,1.3e-08
776,SARS-CoV-2-B.1.351-N,CX3CL1,SARS-CoV-2-B.1.351-N__CX3CL1,4,./results/SARS-CoV-2-B.1.351-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CX3CL1_154w.pdb,2,-96.29,7.81,-62.93,5.95,-333.65,18.65,5985.69,282.54,29.594,2.892,91.0,0.0,0.0,0.0,2682.845,98.415,498.505,15.684,-10.7,1.3e-08
777,SARS-CoV-2-BA.4-N,CCL4L1,SARS-CoV-2-BA.4-N__CCL4L1,2,./results/SARS-CoV-2-BA.4-N__CCL4L1/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL4L1_146w.pdb,6,-100.91,6.46,-70.89,7.37,-300.18,65.3,2945.95,116.3,-3.558,4.407,46.0,0.0,0.0,0.0,2424.372,227.137,160.113,6.664,-12.6,6.1e-10
778,SARS-CoV-2-WA1-N,CCL4L1,SARS-CoV-2-WA1-N__CCL4L1,4,./results/SARS-CoV-2-WA1-N__CCL4L1/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL4L1_37w.pdb,4,-89.25,4.65,-81.26,4.12,-79.87,7.94,3329.03,171.65,-19.013,2.751,48.0,0.0,0.0,0.0,2608.45,86.767,216.651,17.511,-15.9,2.2e-12
779,SARS-CoV-2-WA1-N,CXCL1,SARS-CoV-2-WA1-N__CXCL1,2,./results/SARS-CoV-2-WA1-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL1_54w.pdb,9,-94.49,12.48,-76.03,12.57,-184.62,31.29,2979.22,168.47,12.95,4.354,48.67,0.0,0.0,0.0,2764.991,169.909,197.921,25.095,-12.3,1e-09
780,SARS-CoV-2-BA.4-N,CXCL14,SARS-CoV-2-BA.4-N__CXCL14,4,./results/SARS-CoV-2-BA.4-N__CXCL14/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL14_171w.pdb,4,-109.74,9.46,-66.54,10.4,-432.02,12.71,3040.43,129.47,25.85,2.253,48.5,0.0,0.0,0.0,2608.653,28.535,176.952,6.912,-12.0,1.6e-09
781,SARS-CoV-2-BA.4-N,CCL1,SARS-CoV-2-BA.4-N__CCL1,2,./results/SARS-CoV-2-BA.4-N__CCL1/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL1_158w.pdb,6,-122.3,11.31,-88.27,9.39,-340.22,27.34,2835.96,130.12,25.083,2.125,45.33,0.0,0.0,0.0,2959.45,150.789,152.363,12.8,-12.2,1.1e-09
782,SARS-CoV-2-BQ.1-N,CXCL1,SARS-CoV-2-BQ.1-N__CXCL1,4,./results/SARS-CoV-2-BQ.1-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CXCL1_150w.pdb,6,-86.2,8.07,-74.21,7.04,-119.92,19.63,3151.8,84.06,5.183,3.736,48.83,0.0,0.0,0.0,2463.14,96.827,222.172,11.053,-12.6,5.5e-10
783,SARS-CoV-2-BQ.1-N,CCL27,SARS-CoV-2-BQ.1-N__CCL27,2,./results/SARS-CoV-2-BQ.1-N__CCL27/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL27_77w.pdb,8,-101.41,10.25,-67.81,7.7,-335.95,67.67,3383.62,163.1,8.267,5.155,55.38,0.0,0.0,0.0,2777.45,203.564,211.627,18.998,-15.5,4.5e-12
784,SARS-CoV-N,TNFbeta,SARS-CoV-N__TNFbeta,3,./results/SARS-CoV-N__TNFbeta/run1/structures/it1/water/SARS-CoV-N__TNFbeta_84w.pdb,4,-76.47,4.01,-58.4,1.97,-180.72,33.39,3229.58,164.8,12.558,5.683,55.5,0.0,0.0,0.0,2488.682,107.307,240.977,14.167,-11.7,2.6e-09
785,OC43-N,CXCL9,OC43-N__CXCL9,3,./results/OC43-N__CXCL9/run1/structures/it1/water/OC43-N__CXCL9_10w.pdb,3,-96.24,13.32,-59.6,15.29,-366.38,20.67,3746.22,266.86,14.526,2.776,64.67,0.0,0.0,0.0,3072.313,197.285,256.271,39.638,-12.2,1.2e-09
786,MERS-CoV-N,CXCL16,MERS-CoV-N__CXCL16,6,./results/MERS-CoV-N__CXCL16/run1/structures/it1/water/MERS-CoV-N__CXCL16_54w.pdb,2,-73.75,3.26,-56.12,5.36,-176.33,20.99,4189.56,69.11,0.234,2.662,63.0,0.0,0.0,0.0,2235.63,74.06,327.805,3.091,-9.8,6.9e-08
787,SARS-CoV-2-B.1.351-N,IL-6Ralpha,SARS-CoV-2-B.1.351-N__IL-6Ralpha,1,./results/SARS-CoV-2-B.1.351-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__IL-6Ralpha_110w.pdb,5,-87.0,3.9,-49.29,4.61,-377.11,10.58,5690.93,227.32,45.316,1.404,88.8,0.0,0.0,0.0,2640.948,50.834,489.695,22.781,-10.0,4.7e-08
788,BANAL-20-52-N,IFNA2,BANAL-20-52-N__IFNA2,2,./results/BANAL-20-52-N__IFNA2/run1/structures/it1/water/BANAL-20-52-N__IFNA2_129w.pdb,4,-65.43,6.05,-41.69,8.84,-237.4,61.89,3243.63,147.03,19.947,4.464,55.5,0.0,0.0,0.0,2058.17,121.207,255.139,14.428,-10.2,3.2e-08
789,SARS-CoV-2-BQ.1-N,CCL3,SARS-CoV-2-BQ.1-N__CCL3,7,./results/SARS-CoV-2-BQ.1-N__CCL3/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL3_112w.pdb,4,-94.24,15.06,-75.42,11.09,-188.18,49.07,3031.86,373.95,5.885,7.386,47.0,0.0,0.0,0.0,2373.735,266.055,196.015,38.028,-12.5,6.7e-10
790,SARS-CoV-2-BA.4-N,CXCL11,SARS-CoV-2-BA.4-N__CXCL11,8,./results/SARS-CoV-2-BA.4-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL11_71w.pdb,4,-110.35,6.68,-84.16,5.68,-261.93,15.59,3067.62,67.44,8.462,3.699,52.75,0.0,0.0,0.0,2781.407,74.415,178.678,10.522,-11.0,9.2e-09
791,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL25,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL25,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL25/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL25_10w.pdb,5,-89.88,9.64,-68.97,9.3,-209.1,17.49,3368.4,227.03,-10.802,6.971,53.4,0.0,0.0,0.0,2603.074,215.006,215.251,29.272,-10.6,1.6e-08
792,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNA2,SARS-CoV-2-B.1.617.2-DeltaA-N__IFNA2,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNA2/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNA2_82w.pdb,5,-69.17,4.25,-49.45,5.42,-197.22,19.54,3266.3,223.75,16.773,4.47,57.0,0.0,0.0,0.0,1893.862,71.86,254.512,24.458,-11.1,6.8e-09
793,OC43-N,CCL14,OC43-N__CCL14,6,./results/OC43-N__CCL14/run1/structures/it1/water/OC43-N__CCL14_127w.pdb,5,-94.9,21.04,-79.26,19.3,-156.38,49.8,2839.61,139.04,2.3,2.68,48.8,0.0,0.0,0.0,2579.93,281.891,175.723,13.763,-15.4,4.9e-12
794,SARS-CoV-2-WA1-N,CXCL8,SARS-CoV-2-WA1-N__CXCL8,7,./results/SARS-CoV-2-WA1-N__CXCL8/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL8_88w.pdb,4,-107.71,5.52,-82.52,3.6,-251.97,28.93,3173.9,62.22,10.658,2.323,55.5,0.0,0.0,0.0,2700.78,55.552,195.139,6.093,-13.7,8.3e-11
795,SARS-CoV-2-B.1.1.7-N,CXCL5,SARS-CoV-2-B.1.1.7-N__CXCL5,2,./results/SARS-CoV-2-B.1.1.7-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL5_30w.pdb,6,-94.56,9.53,-79.5,7.3,-150.53,29.85,2899.77,197.82,3.895,3.472,46.67,0.0,0.0,0.0,2707.512,215.341,184.261,23.652,-17.6,1.3e-13
796,BANAL-20-52-N,CXCL1,BANAL-20-52-N__CXCL1,2,./results/BANAL-20-52-N__CXCL1/run1/structures/it1/water/BANAL-20-52-N__CXCL1_3w.pdb,6,-106.52,8.64,-85.45,6.63,-210.7,53.1,2819.09,325.57,19.782,5.174,48.33,0.0,0.0,0.0,2702.967,159.516,174.103,36.841,-10.1,3.7e-08
797,SARS-CoV-2-B.1.351-N,CCL3L1,SARS-CoV-2-B.1.351-N__CCL3L1,5,./results/SARS-CoV-2-B.1.351-N__CCL3L1/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL3L1_36w.pdb,6,-79.42,10.28,-60.76,6.97,-186.62,41.08,3170.62,183.69,6.346,3.677,49.17,0.0,0.0,0.0,2372.418,283.245,225.327,21.765,-12.3,1e-09
798,SARS-CoV-2-B.1.1-N,CXCL12beta,SARS-CoV-2-B.1.1-N__CXCL12beta,5,./results/SARS-CoV-2-B.1.1-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL12beta_145w.pdb,4,-105.96,7.64,-63.52,8.1,-424.38,13.87,2829.0,274.22,20.295,1.438,45.5,0.0,0.0,0.0,2626.573,185.805,154.795,25.778,-12.8,4.1e-10
799,SARS-CoV-2-B.1.1.529-N,IL6,SARS-CoV-2-B.1.1.529-N__IL6,2,./results/SARS-CoV-2-B.1.1.529-N__IL6/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL6_79w.pdb,5,-104.83,4.5,-65.47,3.77,-393.66,15.13,3234.36,169.74,35.718,0.824,59.2,0.0,0.0,0.0,2839.498,40.479,214.954,17.639,-11.4,4.1e-09
800,SARS-CoV-2-P.1-N,CXCL12alpha,SARS-CoV-2-P.1-N__CXCL12alpha,3,./results/SARS-CoV-2-P.1-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-P.1-N__CXCL12alpha_185w.pdb,4,-95.81,5.03,-76.48,4.81,-193.32,41.34,2860.71,154.57,6.422,2.925,48.75,0.0,0.0,0.0,2576.412,130.21,177.35,11.154,-10.2,3.2e-08
801,SARS-CoV-2-BA.2-N,IL-18BP,SARS-CoV-2-BA.2-N__IL-18BP,2,./results/SARS-CoV-2-BA.2-N__IL-18BP/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IL-18BP_57w.pdb,6,-94.46,11.64,-78.66,10.07,-157.98,40.03,3354.32,182.11,-10.897,1.952,60.5,0.0,0.0,0.0,2845.762,169.428,207.375,23.913,-14.6,1.9e-11
802,SARS-CoV-2-BQ.1-N,IL6,SARS-CoV-2-BQ.1-N__IL6,1,./results/SARS-CoV-2-BQ.1-N__IL6/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IL6_110w.pdb,6,-84.46,9.79,-60.3,10.24,-241.62,25.89,3426.94,310.82,22.763,4.574,57.17,0.0,0.0,0.0,2678.438,273.508,256.838,43.411,-13.5,1.3e-10
803,SARS-CoV-2-BQ.1-N,CXCL14,SARS-CoV-2-BQ.1-N__CXCL14,4,./results/SARS-CoV-2-BQ.1-N__CXCL14/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CXCL14_91w.pdb,4,-91.27,5.64,-59.86,7.48,-314.08,21.97,3318.32,142.38,18.28,1.161,53.25,0.0,0.0,0.0,2491.278,199.714,227.434,15.948,-12.2,1.1e-09
804,SARS-CoV-2-WA1-N,IFNlambda1,SARS-CoV-2-WA1-N__IFNlambda1,1,./results/SARS-CoV-2-WA1-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-WA1-N__IFNlambda1_25w.pdb,5,-120.89,12.44,-96.5,8.66,-243.93,38.86,3324.57,183.23,2.718,1.374,57.8,0.0,0.0,0.0,3141.538,188.571,189.892,31.347,-11.5,3.8e-09
805,SARS-CoV-2-BA.4-N,CCL8,SARS-CoV-2-BA.4-N__CCL8,3,./results/SARS-CoV-2-BA.4-N__CCL8/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL8_73w.pdb,4,-103.47,5.38,-81.58,5.31,-218.95,28.04,3022.01,92.54,13.721,1.364,50.0,0.0,0.0,0.0,2365.08,102.648,190.551,8.915,-9.5,1.1e-07
806,SARS-CoV-2-B.1.1.7-N,CCL1,SARS-CoV-2-B.1.1.7-N__CCL1,1,./results/SARS-CoV-2-B.1.1.7-N__CCL1/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL1_6w.pdb,5,-89.7,10.39,-65.8,12.48,-239.0,74.28,2956.36,252.3,7.534,2.703,44.4,0.0,0.0,0.0,2531.528,156.481,189.566,34.8,-11.0,9.2e-09
807,SARS-CoV-2-B.1.1-N,CXCL8,SARS-CoV-2-B.1.1-N__CXCL8,1,./results/SARS-CoV-2-B.1.1-N__CXCL8/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL8_89w.pdb,4,-70.95,17.27,-49.41,10.42,-215.36,76.18,3354.32,184.66,10.96,1.424,51.0,0.0,0.0,0.0,2023.897,353.495,253.905,43.316,-14.1,4.4e-11
808,SARS-CoV-2-WA1-N,IL-1alpha,SARS-CoV-2-WA1-N__IL-1alpha,4,./results/SARS-CoV-2-WA1-N__IL-1alpha/run1/structures/it1/water/SARS-CoV-2-WA1-N__IL-1alpha_144w.pdb,4,-82.36,2.42,-65.98,2.04,-163.78,43.46,3678.68,186.24,9.449,3.584,61.25,0.0,0.0,0.0,2254.785,73.06,241.846,20.833,-13.4,1.6e-10
809,SARS-CoV-2-B.1.1.529-N,CXCL4,SARS-CoV-2-B.1.1.529-N__CXCL4,1,./results/SARS-CoV-2-B.1.1.529-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CXCL4_54w.pdb,6,-105.6,3.86,-57.8,7.24,-478.01,54.57,2911.14,112.8,26.559,4.587,47.67,0.0,0.0,0.0,2515.852,117.378,164.268,9.753,-12.4,8.5e-10
810,SARS-CoV-2-BQ.1-N,IL-18,SARS-CoV-2-BQ.1-N__IL-18,4,./results/SARS-CoV-2-BQ.1-N__IL-18/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IL-18_175w.pdb,3,-132.38,12.61,-88.33,10.87,-440.5,55.38,3136.51,256.64,40.485,1.804,55.67,0.0,0.0,0.0,3211.84,189.447,177.703,20.345,-13.9,6.5e-11
811,MERS-CoV-N,CCL20,MERS-CoV-N__CCL20,10,./results/MERS-CoV-N__CCL20/run1/structures/it1/water/MERS-CoV-N__CCL20_40w.pdb,4,-123.92,6.82,-75.86,5.15,-480.59,35.44,3144.94,70.81,26.117,0.752,46.75,0.0,0.0,0.0,3346.01,88.891,168.637,13.194,-14.5,2.5e-11
812,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL28,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL28,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL28/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL28_149w.pdb,4,-113.82,15.17,-79.25,7.62,-345.66,83.17,3108.61,261.01,4.153,3.569,53.25,0.0,0.0,0.0,2870.585,240.03,166.631,36.32,-11.7,2.7e-09
813,MERS-CoV-N,CCL14,MERS-CoV-N__CCL14,11,./results/MERS-CoV-N__CCL14/run1/structures/it1/water/MERS-CoV-N__CCL14_101w.pdb,4,-102.71,8.15,-80.99,3.27,-217.26,48.91,2950.93,180.38,-14.112,3.276,42.5,0.0,0.0,0.0,2562.887,222.118,156.543,15.081,-14.8,1.3e-11
814,BANAL-20-52-N,CXCL16,BANAL-20-52-N__CXCL16,6,./results/BANAL-20-52-N__CXCL16/run1/structures/it1/water/BANAL-20-52-N__CXCL16_35w.pdb,2,-94.61,9.29,-63.51,5.8,-310.99,34.89,4026.33,177.97,22.994,1.265,70.0,0.0,0.0,0.0,2729.145,118.415,299.918,29.314,-10.9,1.1e-08
815,SARS-CoV-2-B.1.1.529-N,INFbeta,SARS-CoV-2-B.1.1.529-N__INFbeta,4,./results/SARS-CoV-2-B.1.1.529-N__INFbeta/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__INFbeta_69w.pdb,4,-105.97,11.74,-67.91,11.44,-380.59,47.07,3003.06,134.56,24.666,3.429,52.25,0.0,0.0,0.0,3137.032,137.815,180.947,17.525,-13.2,2e-10
816,SARS-CoV-2-B.1.351-N,CXCL12alpha,SARS-CoV-2-B.1.351-N__CXCL12alpha,10,./results/SARS-CoV-2-B.1.351-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL12alpha_160w.pdb,4,-65.31,9.03,-60.43,10.29,-48.77,59.34,2813.9,119.79,13.299,3.499,45.0,0.0,0.0,0.0,1941.8,147.677,234.796,19.714,-10.0,4.8e-08
817,SARS-CoV-2-B.1.1-N,CCL3,SARS-CoV-2-B.1.1-N__CCL3,7,./results/SARS-CoV-2-B.1.1-N__CCL3/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL3_85w.pdb,4,-108.3,11.61,-65.86,11.46,-424.41,95.86,2934.78,168.54,19.941,4.872,46.0,0.0,0.0,0.0,2517.065,201.069,162.678,26.6,-14.1,4.2e-11
818,SARS-CoV-2-B.1.1.7-N,CCL14,SARS-CoV-2-B.1.1.7-N__CCL14,5,./results/SARS-CoV-2-B.1.1.7-N__CCL14/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL14_91w.pdb,5,-100.98,19.85,-72.85,15.87,-281.28,43.42,3111.98,192.5,13.925,2.273,48.8,0.0,0.0,0.0,2535.676,317.354,196.014,24.545,-12.2,1.1e-09
819,SARS-CoV-2-B.1.1-N,IL6,SARS-CoV-2-B.1.1-N__IL6,1,./results/SARS-CoV-2-B.1.1-N__IL6/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__IL6_74w.pdb,4,-84.3,2.31,-41.64,3.9,-426.54,25.17,3759.12,236.86,28.586,3.715,65.25,0.0,0.0,0.0,2363.572,60.649,277.548,28.025,-10.3,2.9e-08
820,SARS-CoV-N,CCL18,SARS-CoV-N__CCL18,1,./results/SARS-CoV-N__CCL18/run1/structures/it1/water/SARS-CoV-N__CCL18_79w.pdb,12,-95.49,10.84,-80.13,10.43,-153.56,34.3,2743.78,230.28,6.149,4.692,48.08,0.0,0.0,0.0,2598.171,154.609,169.682,23.088,-13.5,1.2e-10
821,SARS-CoV-2-BA.4-N,CXCL2,SARS-CoV-2-BA.4-N__CXCL2,3,./results/SARS-CoV-2-BA.4-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL2_109w.pdb,6,-87.83,15.83,-64.04,11.99,-237.87,40.5,2631.58,166.84,17.992,5.502,43.5,0.0,0.0,0.0,2312.827,182.105,169.531,18.626,-12.8,4.2e-10
822,MERS-CoV-N,IFNgamma,MERS-CoV-N__IFNgamma,6,./results/MERS-CoV-N__IFNgamma/run1/structures/it1/water/MERS-CoV-N__IFNgamma_170w.pdb,5,-91.68,5.5,-60.9,7.44,-307.82,20.41,3733.51,290.13,5.6,6.08,61.4,0.0,0.0,0.0,2688.532,149.644,256.487,19.524,-11.0,9e-09
823,SARS-CoV-2-B.1.1.529-N,CCL28,SARS-CoV-2-B.1.1.529-N__CCL28,1,./results/SARS-CoV-2-B.1.1.529-N__CCL28/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CCL28_5w.pdb,4,-107.17,9.46,-77.15,6.81,-300.25,32.71,2875.59,326.34,-1.875,4.068,47.25,0.0,0.0,0.0,2769.705,184.467,148.486,39.472,-11.6,3.2e-09
824,SARS-CoV-2-WA1-N,CXCL5,SARS-CoV-2-WA1-N__CXCL5,6,./results/SARS-CoV-2-WA1-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL5_2w.pdb,4,-104.92,6.84,-71.21,2.37,-337.08,52.79,2968.74,322.31,13.002,5.381,49.25,0.0,0.0,0.0,2749.792,150.517,171.249,42.748,-14.6,1.9e-11
825,SARS-CoV-2-B.1.1-N,CCL27,SARS-CoV-2-B.1.1-N__CCL27,2,./results/SARS-CoV-2-B.1.1-N__CCL27/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL27_118w.pdb,10,-105.3,15.33,-71.13,11.74,-341.68,68.39,2930.14,109.31,9.016,3.774,47.1,0.0,0.0,0.0,2335.216,136.265,162.559,20.466,-13.0,2.8e-10
826,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL9,SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL9,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL9/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL9_64w.pdb,4,-118.92,10.75,-64.4,6.81,-545.25,51.58,2849.75,30.11,31.657,3.356,47.75,0.0,0.0,0.0,3034.865,294.822,143.185,12.089,-13.0,3.1e-10
827,OC43-N,CXCL5,OC43-N__CXCL5,6,./results/OC43-N__CXCL5/run1/structures/it1/water/OC43-N__CXCL5_166w.pdb,5,-72.71,13.65,-50.92,10.61,-217.92,69.67,3216.55,158.72,-2.753,3.049,52.4,0.0,0.0,0.0,2175.614,287.639,224.402,20.177,-14.5,2.3e-11
828,SARS-CoV-2-XBB-N,CXCL10,SARS-CoV-2-XBB-N__CXCL10,5,./results/SARS-CoV-2-XBB-N__CXCL10/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL10_186w.pdb,6,-102.57,11.5,-73.88,10.18,-286.94,50.39,2761.44,84.83,27.596,4.444,44.83,0.0,0.0,0.0,2855.915,142.377,172.474,15.525,-10.8,1.3e-08
829,SARS-CoV-2-BA.4-N,INFA2,SARS-CoV-2-BA.4-N__INFA2,1,./results/SARS-CoV-2-BA.4-N__INFA2/run1/structures/it1/water/SARS-CoV-2-BA.4-N__INFA2_37w.pdb,5,-65.75,3.58,-36.69,5.65,-290.61,44.72,3427.08,128.21,15.13,1.858,57.2,0.0,0.0,0.0,2259.81,51.806,263.029,15.688,-10.4,2.4e-08
830,SARS-CoV-N,INFbeta,SARS-CoV-N__INFbeta,1,./results/SARS-CoV-N__INFbeta/run1/structures/it1/water/SARS-CoV-N__INFbeta_152w.pdb,8,-79.7,18.18,-55.91,16.48,-237.87,70.28,3337.24,212.99,6.034,4.235,55.25,0.0,0.0,0.0,2421.464,284.565,240.822,22.543,-10.8,1.3e-08
