experiment_name,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,af2_foldx_dG
SARS-CoV-2-B.1.351-N_CXCL14,SARS-CoV-2-B.1.351-N,CXCL14,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL14_relaxed_model_4_multimer_v3_pred_0.pdb,-13.6,1.00E-10,11.8394
SARS-CoV-2-B.1.351-N_IL-1beta,SARS-CoV-2-B.1.351-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-1beta_relaxed_model_5_multimer_v3_pred_1.pdb,-8,1.30E-06,-3.55448
SARS-CoV-2-BA.1.1-N_CCL4,SARS-CoV-2-BA.1.1-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL4_relaxed_model_4_multimer_v3_pred_2.pdb,-12.2,1.10E-09,-19.715
OC43-N_IFNA2,OC43-N,IFNA2,./best_AF2_and_GDock/OC43-N_IFNA2_relaxed_model_4_multimer_v3_pred_2.pdb,-20.4,1.10E-15,-28.4464
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL16,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL16,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL16_relaxed_model_3_multimer_v3_pred_2.pdb,-14.5,2.40E-11,-1.00756
MERS-CoV-N_CCL17,MERS-CoV-N,CCL17,./best_AF2_and_GDock/MERS-CoV-N_CCL17_relaxed_model_1_multimer_v3_pred_4.pdb,-10.4,2.50E-08,-7.93032
SARS-CoV-2-BA.4-N_CXCL7,SARS-CoV-2-BA.4-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL7_relaxed_model_4_multimer_v3_pred_2.pdb,-11.5,3.80E-09,2.01018
SARS-CoV-2-BQ.1-N_CCL20,SARS-CoV-2-BQ.1-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL20_relaxed_model_2_multimer_v3_pred_0.pdb,-15.3,6.50E-12,-4.07364
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL2,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL2,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL2_relaxed_model_1_multimer_v3_pred_3.pdb,-11.5,3.80E-09,-11.8519
SARS-CoV-2-BA.2-N_IFNomega,SARS-CoV-2-BA.2-N,IFNomega,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IFNomega_relaxed_model_5_multimer_v3_pred_2.pdb,-17.2,2.40E-13,-5.05751
MERS-CoV-N_IL-10,MERS-CoV-N,IL-10,./best_AF2_and_GDock/MERS-CoV-N_IL-10_relaxed_model_3_multimer_v3_pred_4.pdb,-14.9,1.10E-11,11.4953
SARS-CoV-2-BA.1.1-N_CCL27,SARS-CoV-2-BA.1.1-N,CCL27,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL27_relaxed_model_2_multimer_v3_pred_0.pdb,-17.9,6.90E-14,5.28583
SARS-CoV-2-BA.1.1-N_CXCL2,SARS-CoV-2-BA.1.1-N,CXCL2,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CXCL2_relaxed_model_1_multimer_v3_pred_3.pdb,-11.7,2.50E-09,-11.0651
SARS-CoV-2-B.1.351-N_CXCL10,SARS-CoV-2-B.1.351-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL10_relaxed_model_3_multimer_v3_pred_3.pdb,-10.2,3.10E-08,-6.31515
SARS-CoV-N_CCL27,SARS-CoV-N,CCL27,./best_AF2_and_GDock/SARS-CoV-N_CCL27_relaxed_model_3_multimer_v3_pred_3.pdb,-10.9,1.00E-08,2.67412
RaTG13-N_CCL23,RaTG13-N,CCL23,./best_AF2_and_GDock/RaTG13-N_CCL23_relaxed_model_4_multimer_v3_pred_0.pdb,-18.3,3.90E-14,-9.31871
SARS-CoV-2-BA.1.1-N_CCL3,SARS-CoV-2-BA.1.1-N,CCL3,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL3_relaxed_model_4_multimer_v3_pred_4.pdb,-12.7,4.70E-10,-17.8907
SARS-CoV-2-BA.1.1-N_CCL5,SARS-CoV-2-BA.1.1-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL5_relaxed_model_3_multimer_v3_pred_0.pdb,-14.3,3.30E-11,24.6557
SARS-CoV-2-BA.4-N_CCL17,SARS-CoV-2-BA.4-N,CCL17,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL17_relaxed_model_4_multimer_v3_pred_0.pdb,-10.8,1.10E-08,1.94199
SARS-CoV-2-B.1.1.7-N_CXCL10,SARS-CoV-2-B.1.1.7-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL10_relaxed_model_3_multimer_v3_pred_0.pdb,-9.5,9.90E-08,-11.6512
BANAL-20-52-N_TNFalpha,BANAL-20-52-N,TNFalpha,./best_AF2_and_GDock/BANAL-20-52-N_TNFalpha_relaxed_model_4_multimer_v3_pred_4.pdb,-13.4,1.40E-10,-9.46071
SARS-CoV-2-B.1.351-N_CCL13,SARS-CoV-2-B.1.351-N,CCL13,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL13_relaxed_model_4_multimer_v3_pred_2.pdb,-11,9.00E-09,-8.79478
SARS-CoV-2-P.1-N_IL-10,SARS-CoV-2-P.1-N,IL-10,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-10_relaxed_model_2_multimer_v3_pred_1.pdb,-9,2.60E-07,1.5526
SARS-CoV-2-B.1.351-N_CXCL3,SARS-CoV-2-B.1.351-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL3_relaxed_model_4_multimer_v3_pred_2.pdb,-12,1.50E-09,-5.22671
SARS-CoV-N_CCL20,SARS-CoV-N,CCL20,./best_AF2_and_GDock/SARS-CoV-N_CCL20_relaxed_model_4_multimer_v3_pred_3.pdb,-12,1.50E-09,-6.40561
SARS-CoV-2-B.1.1.529-N_CCL4,SARS-CoV-2-B.1.1.529-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL4_relaxed_model_4_multimer_v3_pred_0.pdb,-12.2,1.10E-09,-20.3243
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL8,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL8,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL8_relaxed_model_1_multimer_v3_pred_4.pdb,-11,8.20E-09,-9.11335
SARS-CoV-2-WA1-N_CX3CL1,SARS-CoV-2-WA1-N,CX3CL1,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CX3CL1_relaxed_model_3_multimer_v3_pred_2.pdb,-11.9,2.00E-09,-7.52699
SARS-CoV-2-BA.1.1-N_CXCL11,SARS-CoV-2-BA.1.1-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CXCL11_relaxed_model_4_multimer_v3_pred_4.pdb,-13.2,2.10E-10,-23.5438
OC43-N_CCL14,OC43-N,CCL14,./best_AF2_and_GDock/OC43-N_CCL14_relaxed_model_4_multimer_v3_pred_1.pdb,-14.6,2.10E-11,-2.55974
SARS-CoV-2-B.1.1-N_CCL26,SARS-CoV-2-B.1.1-N,CCL26,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL26_relaxed_model_3_multimer_v3_pred_4.pdb,-15.2,7.10E-12,0.303396
SARS-CoV-2-P.1-N_CCL25,SARS-CoV-2-P.1-N,CCL25,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL25_relaxed_model_4_multimer_v3_pred_4.pdb,-16.8,4.90E-13,-19.9444
SARS-CoV-2-B.1.1.529-N_IL-12p70,SARS-CoV-2-B.1.1.529-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-12p70_relaxed_model_2_multimer_v3_pred_2.pdb,-32,3.50E-24,-11.0921
SARS-CoV-2-P.1-N_TNFalpha,SARS-CoV-2-P.1-N,TNFalpha,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_TNFalpha_relaxed_model_4_multimer_v3_pred_4.pdb,-11.7,2.60E-09,-9.84607
SARS-CoV-N_IL-27,SARS-CoV-N,IL-27,./best_AF2_and_GDock/SARS-CoV-N_IL-27_relaxed_model_2_multimer_v3_pred_3.pdb,-19.4,5.50E-15,-14.037
OC43-N_CCL24,OC43-N,CCL24,./best_AF2_and_GDock/OC43-N_CCL24_relaxed_model_5_multimer_v3_pred_0.pdb,-13,3.10E-10,20.6676
SARS-CoV-N_CCL13,SARS-CoV-N,CCL13,./best_AF2_and_GDock/SARS-CoV-N_CCL13_relaxed_model_4_multimer_v3_pred_4.pdb,-9.1,2.10E-07,-6.64591
SARS-CoV-2-WA1-N_CCL13,SARS-CoV-2-WA1-N,CCL13,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL13_relaxed_model_4_multimer_v3_pred_1.pdb,-10.6,1.60E-08,-11.0525
SARS-CoV-2-B.1.1-N_CCL25,SARS-CoV-2-B.1.1-N,CCL25,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL25_relaxed_model_4_multimer_v3_pred_3.pdb,-15.1,8.50E-12,-12.7329
SARS-CoV-2-BA.2-N_CCL15,SARS-CoV-2-BA.2-N,CCL15,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL15_relaxed_model_2_multimer_v3_pred_4.pdb,-12.8,3.90E-10,0.0143341
SARS-CoV-2-BA.1.1-N_CXCL10,SARS-CoV-2-BA.1.1-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CXCL10_relaxed_model_3_multimer_v3_pred_3.pdb,-10.3,2.90E-08,-2.57756
MERS-CoV-N_TNFalpha,MERS-CoV-N,TNFalpha,./best_AF2_and_GDock/MERS-CoV-N_TNFalpha_relaxed_model_4_multimer_v3_pred_3.pdb,-16.8,4.70E-13,-9.34926
BANAL-20-52-N_CCL5,BANAL-20-52-N,CCL5,./best_AF2_and_GDock/BANAL-20-52-N_CCL5_relaxed_model_3_multimer_v3_pred_0.pdb,-13.2,2.10E-10,0.822601
SARS-CoV-2-P.1-N_CXCL14,SARS-CoV-2-P.1-N,CXCL14,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL14_relaxed_model_4_multimer_v3_pred_4.pdb,-8.9,2.80E-07,-2.06358
SARS-CoV-2-P.1-N_IL-6,SARS-CoV-2-P.1-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-6_relaxed_model_2_multimer_v3_pred_3.pdb,-10.3,2.90E-08,-7.94725
BANAL-20-52-N_IFNbeta,BANAL-20-52-N,IFNbeta,./best_AF2_and_GDock/BANAL-20-52-N_IFNbeta_relaxed_model_3_multimer_v3_pred_2.pdb,-14.9,1.20E-11,-11.7025
SARS-CoV-2-WA1-N_CCL17,SARS-CoV-2-WA1-N,CCL17,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL17_relaxed_model_4_multimer_v3_pred_2.pdb,-11.9,1.90E-09,-3.64112
SARS-CoV-2-XBB-N_CXCL3,SARS-CoV-2-XBB-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CXCL3_relaxed_model_4_multimer_v3_pred_4.pdb,-10.3,3.00E-08,4.95372
OC43-N_IL-12p70,OC43-N,IL-12p70,./best_AF2_and_GDock/OC43-N_IL-12p70_relaxed_model_2_multimer_v3_pred_3.pdb,-19.9,2.70E-15,7.00141
SARS-CoV-2-B.1.351-N_IL-12p70,SARS-CoV-2-B.1.351-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-12p70_relaxed_model_4_multimer_v3_pred_3.pdb,-30.5,4.50E-23,-13.5413
RaTG13-N_CCL19,RaTG13-N,CCL19,./best_AF2_and_GDock/RaTG13-N_CCL19_relaxed_model_2_multimer_v3_pred_2.pdb,-12,1.60E-09,8.25848
SARS-CoV-2-WA1-N_IL-27,SARS-CoV-2-WA1-N,IL-27,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-27_relaxed_model_4_multimer_v3_pred_2.pdb,-25.4,2.30E-19,1.06886
BANAL-20-52-N_IL-18,BANAL-20-52-N,IL-18,./best_AF2_and_GDock/BANAL-20-52-N_IL-18_relaxed_model_1_multimer_v3_pred_3.pdb,-10.6,1.60E-08,-9.70844
SARS-CoV-2-B.1.1.7-N_CCL20,SARS-CoV-2-B.1.1.7-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL20_relaxed_model_1_multimer_v3_pred_1.pdb,-12,1.60E-09,-8.41905
RaTG13-N_IL-12p70,RaTG13-N,IL-12p70,./best_AF2_and_GDock/RaTG13-N_IL-12p70_relaxed_model_4_multimer_v3_pred_4.pdb,-32.7,9.60E-25,6.03582
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL21,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL21,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL21_relaxed_model_4_multimer_v3_pred_0.pdb,-14.7,1.60E-11,1.40481
SARS-CoV-2-XBB-N_CXCL2,SARS-CoV-2-XBB-N,CXCL2,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CXCL2_relaxed_model_1_multimer_v3_pred_1.pdb,-11,9.00E-09,-10.1053
SARS-CoV-2-B.1.1.529-N_IL-18,SARS-CoV-2-B.1.1.529-N,IL-18,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-18_relaxed_model_1_multimer_v3_pred_3.pdb,-9.2,1.90E-07,-0.0348729
OC43-N_CXCL7,OC43-N,CXCL7,./best_AF2_and_GDock/OC43-N_CXCL7_relaxed_model_4_multimer_v3_pred_4.pdb,-15.2,7.50E-12,-5.71337
BANAL-20-52-N_IFNgamma,BANAL-20-52-N,IFNgamma,./best_AF2_and_GDock/BANAL-20-52-N_IFNgamma_relaxed_model_3_multimer_v3_pred_2.pdb,-9.1,2.30E-07,-1.91046
SARS-CoV-2-BQ.1-N_IFNbeta,SARS-CoV-2-BQ.1-N,IFNbeta,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IFNbeta_relaxed_model_1_multimer_v3_pred_1.pdb,-12.9,3.40E-10,-22.7387
SARS-CoV-2-BQ.1-N_IL-17a,SARS-CoV-2-BQ.1-N,IL-17a,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-17a_relaxed_model_1_multimer_v3_pred_2.pdb,-11.6,3.30E-09,3.08029
SARS-CoV-2-P.1-N_IL-27,SARS-CoV-2-P.1-N,IL-27,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-27_relaxed_model_2_multimer_v3_pred_2.pdb,-26.4,4.10E-20,19.8412
SARS-CoV-2-BA.1.1-N_CXCL4,SARS-CoV-2-BA.1.1-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CXCL4_relaxed_model_3_multimer_v3_pred_2.pdb,-14.8,1.30E-11,5.21201
SARS-CoV-2-XBB-N_CCL3L1,SARS-CoV-2-XBB-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL3L1_relaxed_model_4_multimer_v3_pred_4.pdb,-14.1,4.20E-11,-23.2939
RaTG13-N_IL-13,RaTG13-N,IL-13,./best_AF2_and_GDock/RaTG13-N_IL-13_relaxed_model_3_multimer_v3_pred_1.pdb,-12.1,1.40E-09,4.29104
SARS-CoV-2-B.1.351-N_IL-6Ralpha,SARS-CoV-2-B.1.351-N,IL-6Ralpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-6Ralpha_relaxed_model_4_multimer_v3_pred_2.pdb,-26.5,3.50E-20,-10.8173
SARS-CoV-2-BA.4-N_IFNA2,SARS-CoV-2-BA.4-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IFNA2_relaxed_model_4_multimer_v3_pred_0.pdb,-12,1.50E-09,-33.4629
OC43-N_CCL26,OC43-N,CCL26,./best_AF2_and_GDock/OC43-N_CCL26_relaxed_model_3_multimer_v3_pred_0.pdb,-14.2,3.80E-11,-14.0496
SARS-CoV-2-WA1-N_CXCL12alpha,SARS-CoV-2-WA1-N,CXCL12alpha,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL12alpha_relaxed_model_2_multimer_v3_pred_3.pdb,-12.2,1.10E-09,-6.49333
SARS-CoV-N_CCL28,SARS-CoV-N,CCL28,./best_AF2_and_GDock/SARS-CoV-N_CCL28_relaxed_model_4_multimer_v3_pred_1.pdb,-14.4,3.00E-11,-18.2517
SARS-CoV-2-BA.2-N_CCL28,SARS-CoV-2-BA.2-N,CCL28,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL28_relaxed_model_4_multimer_v3_pred_1.pdb,-14.9,1.10E-11,5.49695
SARS-CoV-2-BA.2-N_CCL17,SARS-CoV-2-BA.2-N,CCL17,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL17_relaxed_model_4_multimer_v3_pred_2.pdb,-12.4,8.50E-10,4.93141
RaTG13-N_CXCL2,RaTG13-N,CXCL2,./best_AF2_and_GDock/RaTG13-N_CXCL2_relaxed_model_3_multimer_v3_pred_0.pdb,-9.5,1.10E-07,5.0752
SARS-CoV-2-B.1.1-N_IL-12p70,SARS-CoV-2-B.1.1-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-12p70_relaxed_model_4_multimer_v3_pred_4.pdb,-25.5,2.00E-19,-0.259864
SARS-CoV-2-BA.1.1-N_XCL1,SARS-CoV-2-BA.1.1-N,XCL1,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_XCL1_relaxed_model_4_multimer_v3_pred_3.pdb,-11.2,5.70E-09,2.74955
SARS-CoV-2-B.1.1-N_CCL22,SARS-CoV-2-B.1.1-N,CCL22,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL22_relaxed_model_3_multimer_v3_pred_3.pdb,-10.1,4.10E-08,-12.1159
SARS-CoV-2-B.1.1.529-N_CXCL10,SARS-CoV-2-B.1.1.529-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL10_relaxed_model_3_multimer_v3_pred_2.pdb,-7.9,1.60E-06,-8.79858
SARS-CoV-2-XBB-N_CCL4,SARS-CoV-2-XBB-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL4_relaxed_model_4_multimer_v3_pred_1.pdb,-12.3,9.10E-10,-19.2041
SARS-CoV-2-BQ.1-N_CCL13,SARS-CoV-2-BQ.1-N,CCL13,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL13_relaxed_model_4_multimer_v3_pred_4.pdb,-10.6,1.70E-08,-6.18593
SARS-CoV-2-WA1-N_CCL21,SARS-CoV-2-WA1-N,CCL21,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL21_relaxed_model_4_multimer_v3_pred_4.pdb,-17.2,2.30E-13,16.7974
RaTG13-N_CCL16,RaTG13-N,CCL16,./best_AF2_and_GDock/RaTG13-N_CCL16_relaxed_model_3_multimer_v3_pred_3.pdb,-13.9,6.40E-11,-2.03191
SARS-CoV-2-B.1.1.7-N_CXCL12alpha,SARS-CoV-2-B.1.1.7-N,CXCL12alpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL12alpha_relaxed_model_3_multimer_v3_pred_2.pdb,-15.8,2.40E-12,-7.69761
SARS-CoV-2-B.1.1.529-N_IFNomega,SARS-CoV-2-B.1.1.529-N,IFNomega,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IFNomega_relaxed_model_1_multimer_v3_pred_4.pdb,-15.3,5.80E-12,-16.9954
SARS-CoV-2-B.1.1.7-N_IFNbeta,SARS-CoV-2-B.1.1.7-N,IFNbeta,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IFNbeta_relaxed_model_3_multimer_v3_pred_0.pdb,-13,3.00E-10,-8.54414
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL2,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL2_relaxed_model_1_multimer_v3_pred_3.pdb,-9.1,2.10E-07,-10.6124
SARS-CoV-2-WA1-N_IL-6,SARS-CoV-2-WA1-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-6_relaxed_model_2_multimer_v3_pred_3.pdb,-10.7,1.50E-08,-5.87444
OC43-N_CCL18,OC43-N,CCL18,./best_AF2_and_GDock/OC43-N_CCL18_relaxed_model_1_multimer_v3_pred_4.pdb,-9.7,7.50E-08,-12.4048
SARS-CoV-2-WA1-N_IL-1beta,SARS-CoV-2-WA1-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-1beta_relaxed_model_2_multimer_v3_pred_2.pdb,-8.1,1.20E-06,-1.61172
SARS-CoV-2-BA.2-N_CCL14,SARS-CoV-2-BA.2-N,CCL14,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL14_relaxed_model_3_multimer_v3_pred_2.pdb,-10,4.80E-08,3.2215
SARS-CoV-2-B.1.1.529-N_CCL14,SARS-CoV-2-B.1.1.529-N,CCL14,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL14_relaxed_model_3_multimer_v3_pred_3.pdb,-10.1,3.80E-08,-0.965599
SARS-CoV-2-B.1.1-N_CCL11,SARS-CoV-2-B.1.1-N,CCL11,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL11_relaxed_model_3_multimer_v3_pred_2.pdb,-10.5,1.80E-08,-3.81295
SARS-CoV-2-BA.4-N_CCL23,SARS-CoV-2-BA.4-N,CCL23,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL23_relaxed_model_2_multimer_v3_pred_3.pdb,-10.9,1.10E-08,-15.7973
MERS-CoV-N_CXCL10,MERS-CoV-N,CXCL10,./best_AF2_and_GDock/MERS-CoV-N_CXCL10_relaxed_model_4_multimer_v3_pred_3.pdb,-17.9,8.00E-14,22.7726
SARS-CoV-N_CXCL7,SARS-CoV-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-N_CXCL7_relaxed_model_1_multimer_v3_pred_3.pdb,-10.9,9.30E-09,-9.85079
SARS-CoV-2-B.1.351-N_CXCL2,SARS-CoV-2-B.1.351-N,CXCL2,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL2_relaxed_model_1_multimer_v3_pred_3.pdb,-12.1,1.20E-09,-0.0397612
BANAL-20-52-N_CCL17,BANAL-20-52-N,CCL17,./best_AF2_and_GDock/BANAL-20-52-N_CCL17_relaxed_model_4_multimer_v3_pred_2.pdb,-14.5,2.20E-11,0.391009
SARS-CoV-2-B.1.1.529-N_CXCL13,SARS-CoV-2-B.1.1.529-N,CXCL13,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL13_relaxed_model_5_multimer_v3_pred_3.pdb,-9.7,8.10E-08,-6.84471
SARS-CoV-2-BA.2-N_CCL1,SARS-CoV-2-BA.2-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL1_relaxed_model_5_multimer_v3_pred_4.pdb,-11.1,6.80E-09,-5.08577
RaTG13-N_CCL3L1,RaTG13-N,CCL3L1,./best_AF2_and_GDock/RaTG13-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-17,3.20E-13,-22.0303
OC43-N_CXCL6,OC43-N,CXCL6,./best_AF2_and_GDock/OC43-N_CXCL6_relaxed_model_4_multimer_v3_pred_4.pdb,-13.1,2.30E-10,-24.213
OC43-N_CXCL10,OC43-N,CXCL10,./best_AF2_and_GDock/OC43-N_CXCL10_relaxed_model_5_multimer_v3_pred_3.pdb,-11.7,2.60E-09,-13.2938
SARS-CoV-2-BA.1.1-N_IL-6,SARS-CoV-2-BA.1.1-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-6_relaxed_model_2_multimer_v3_pred_4.pdb,-9.8,6.90E-08,-4.76202
RaTG13-N_CXCL4,RaTG13-N,CXCL4,./best_AF2_and_GDock/RaTG13-N_CXCL4_relaxed_model_3_multimer_v3_pred_2.pdb,-10.4,2.50E-08,-15.8534
BANAL-20-52-N_CCL21,BANAL-20-52-N,CCL21,./best_AF2_and_GDock/BANAL-20-52-N_CCL21_relaxed_model_4_multimer_v3_pred_4.pdb,-14.3,3.30E-11,-4.90584
MERS-CoV-N_CXCL11,MERS-CoV-N,CXCL11,./best_AF2_and_GDock/MERS-CoV-N_CXCL11_relaxed_model_3_multimer_v3_pred_0.pdb,-11,9.00E-09,-9.58812
SARS-CoV-2-B.1.1.529-N_IL-35,SARS-CoV-2-B.1.1.529-N,IL-35,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-35_relaxed_model_1_multimer_v3_pred_1.pdb,-24.5,1.00E-18,-34.1326
SARS-CoV-2-BA.4-N_CXCL1,SARS-CoV-2-BA.4-N,CXCL1,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL1_relaxed_model_2_multimer_v3_pred_0.pdb,-9.8,6.70E-08,-13.5381
OC43-N_CCL3L1,OC43-N,CCL3L1,./best_AF2_and_GDock/OC43-N_CCL3L1_relaxed_model_4_multimer_v3_pred_0.pdb,-17.4,1.70E-13,-8.50058
SARS-CoV-2-BA.1.1-N_CCL3L1,SARS-CoV-2-BA.1.1-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-14.8,1.40E-11,-22.2304
SARS-CoV-2-P.1-N_CCL23,SARS-CoV-2-P.1-N,CCL23,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL23_relaxed_model_4_multimer_v3_pred_2.pdb,-15.5,4.10E-12,-6.87612
SARS-CoV-2-B.1.1.529-N_CXCL9,SARS-CoV-2-B.1.1.529-N,CXCL9,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL9_relaxed_model_3_multimer_v3_pred_2.pdb,-9.9,5.80E-08,4.79289
BANAL-20-52-N_CCL8,BANAL-20-52-N,CCL8,./best_AF2_and_GDock/BANAL-20-52-N_CCL8_relaxed_model_3_multimer_v3_pred_1.pdb,-14.1,4.70E-11,3.50659
RaTG13-N_CCL5,RaTG13-N,CCL5,./best_AF2_and_GDock/RaTG13-N_CCL5_relaxed_model_3_multimer_v3_pred_2.pdb,-13.9,6.50E-11,4.39018
SARS-CoV-N_IFNomega,SARS-CoV-N,IFNomega,./best_AF2_and_GDock/SARS-CoV-N_IFNomega_relaxed_model_1_multimer_v3_pred_4.pdb,-14.5,2.20E-11,-17.5452
MERS-CoV-N_CXCL9,MERS-CoV-N,CXCL9,./best_AF2_and_GDock/MERS-CoV-N_CXCL9_relaxed_model_4_multimer_v3_pred_3.pdb,-12.1,1.30E-09,3.17922
SARS-CoV-2-B.1.351-N_CCL7,SARS-CoV-2-B.1.351-N,CCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL7_relaxed_model_5_multimer_v3_pred_3.pdb,-8.8,3.40E-07,-3.60109
SARS-CoV-2-B.1.351-N_IL-6,SARS-CoV-2-B.1.351-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-6_relaxed_model_2_multimer_v3_pred_2.pdb,-10.4,2.40E-08,-5.18367
